Season,Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
2006,Kevin Gryboski,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,91
2006,Chris Booker,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2039
2006,Santiago Ramirez,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2122
2006,Brett Campbell,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6842
2007,Ray King,55,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,693
2007,Luis Ayala,44,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1650
2007,Ryan Wagner,14,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1770
2007,Chris Booker,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2039
2007,Arnie Munoz,13,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2111
2007,Ross Detwiler,1,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2859
2007,Jonathan Albaladejo,14,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3521
2008,Ray King,12,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,693
2008,Jesus Colome,61,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1198
2008,Chad Cordero,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1816
2008,Brian Sanches,12,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2739
2008,Chris Schroder,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3553
2008,Charlie Manning,57,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3578
2008,Mike Hinckley,14,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3769
2008,Levale Speigner,7,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5717
2009,Mike MacDougal,52,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,612
2009,Joe Beimel,45,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,979
2009,Ron Villone,63,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1010
2009,Jesus Colome,16,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1198
2009,Wil Ledezma,5,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1669
2009,Joel Hanrahan,34,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2186
2009,Steven Shell,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3681
2009,Victor Garate,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4036
2009,Zack Segovia,8,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8742
2010,Sean Burnett,73,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1886
2010,Brian Bruney,19,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1929
2010,Doug Slaten,49,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3107
2010,Jason Bergmann,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4640
2010,Collin Balester,17,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6883
2010,Joe Bisenius,5,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7370
2011,Chad Gaudin,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1783
2011,Todd Coffey,69,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2467
2011,Doug Slaten,31,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3107
2011,Brian Broderick,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3773
2011,Atahualpa Severino,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5332
2011,Drew Storen,73,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6983
2011,Ryan Mattheus,35,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7169
2012,Brad Lidge,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,563
2012,Michael Gonzalez,47,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1794
2012,Christian Garcia,13,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4067
2012,Tyler Clippard,74,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5640
2012,Henry Rodriguez,35,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6371
2012,Drew Storen,37,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6983
2012,Ryan Perry,7,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8799
2013,Xavier Cedeno,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,36
2013,Rafael Soriano,68,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1100
2013,Fernando Abad,39,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4994
2013,Tyler Clippard,72,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5640
2013,Henry Rodriguez,17,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6371
2013,Drew Storen,68,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6983
2013,Ryan Mattheus,37,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7169
2013,Erik Davis,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8422
2013,Ian Krol,32,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,10066
2013,Yunesky Maya,1,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11420
2014,Xavier Cedeno,9,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,36
2014,Rafael Soriano,64,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1100
2014,Matt Thornton,18,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1918
2014,Tyler Clippard,75,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5640
2014,Drew Storen,65,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6983
2014,Ryan Mattheus,7,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7169
2014,Jerry Blevins,64,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7841
2014,Aaron Barrett,50,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11243
2015,Xavier Cedeno,5,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,36
2015,Matt Thornton,60,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1918
2015,David Carpenter,8,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3959
2015,Jonathan Papelbon,22,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5975
2015,Drew Storen,58,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6983
2015,Craig Stammen,5,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7274
2015,Casey Janssen,48,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7355
2015,Rafael Martin,13,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,10258
2015,Aaron Barrett,40,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11243
2015,Matt Grace,26,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11449
2015,Felipe Vazquez,49,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12076
2015,Taylor Hill,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12515
2015,Abel De Los Santos,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12962
2016,Sean Burnett,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1886
2016,Mark Melancon,30,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4264
2016,Jonathan Papelbon,37,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,5975
2016,Marc Rzepczynski,14,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6612
2016,Rafael Martin,8,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,10258
2016,Matt Grace,5,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11449
2016,Blake Treinen,73,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12572
2016,Trevor Gott,9,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15046
2016,Koda Glover,19,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,17695
2017,Oliver Perez,50,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1514
2017,Sean Doolittle,30,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1581
2017,Ryan Madson,20,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1852
2017,Jeremy Guthrie,1,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,2072
2017,Matt Albers,63,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4300
2017,Shawn Kelley,33,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7773
2017,Brandon Kintzler,27,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,9939
2017,Sammy Solis,30,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11457
2017,Blake Treinen,37,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12572
2017,Austin Adams,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,13801
2017,Trevor Gott,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15046
2017,Koda Glover,23,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,17695
2018,Sean Doolittle,43,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1581
2018,Ryan Madson,49,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1852
2018,Tim Collins,38,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3164
2018,Enny Romero,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,4001
2018,Kelvin Herrera,21,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6033
2018,Greg Holland,24,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7196
2018,Carlos Torres,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7624
2018,Brandon Kintzler,45,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,9939
2018,Sammy Solis,56,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11457
2018,Austin Adams,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,13801
2018,Trevor Gott,20,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15046
2018,Jimmy Cordero,22,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15690
2018,Austen Williams,10,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,16309
2018,Koda Glover,22,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,17695
2019,Fernando Rodney,38,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,494
2019,Daniel Hudson,24,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7146
2019,Jonny Venters,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7175
2019,Hunter Strickland,24,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7836
2019,Dan Jennings,8,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8073
2019,Tony Sipp,36,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8280
2019,Justin Miller,17,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8580
2019,Michael Blazek,4,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,9654
2019,Trevor Rosenthal,12,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,10745
2019,Aaron Barrett,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11243
2019,Kyle Barraclough,33,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,13713
2019,Austin Adams,1,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,13801
2019,Austen Williams,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,16309
2019,James Bourque,1,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,16668
2020,Sean Doolittle,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,1581
2020,Max Scherzer,12,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3137
2020,Will Harris,20,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3192
2020,Anibal Sanchez,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,3284
2020,Sam Freeman,7,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,6832
2020,Daniel Hudson,21,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7146
2020,Javy Guerra,14,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,7407
2020,Paolo Espino,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,8246
2020,Patrick Corbin,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,9323
2020,Stephen Strasburg,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,10131
2020,Aaron Barrett,2,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,11243
2020,Ryne Harper,23,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,12680
2020,Dakota Bacus,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,14545
2020,Kyle Finnegan,25,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15009
2020,Austin Voth,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15047
2020,Kyle McGowin,9,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15071
2020,Wander Suero,22,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,15855
2020,James Bourque,6,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,16668
2020,Erick Fedde,11,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,17425
2020,Tanner Rainey,20,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,17610
2020,Wil Crowe,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,19800
2020,Ben Braymer,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,20175
2020,Seth Romero,3,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0,0,0,0,21333
1985,Steve Rogers,8,14,0,1,1,0,0.00%,7.10%,0.071,0.154,0.143,0.143,0.214,0.156,,-9,0,-1.7,1.3,0,1011138
2020,Jake Noll,7,17,0,2,0,0,0.00%,23.50%,0.059,0.462,0.353,0.353,0.412,0.332,,105,0,0.1,-0.6,0,19703
1977,Bill Atkinson,56,6,0,0,0,0,0.00%,16.70%,0,0.25,0.2,0.2,0.2,0.18,,3,0,-0.7,0.5,0,1000350
2011,Alex Cora,91,172,0,12,6,2,7.00%,13.40%,0.051,0.261,0.224,0.287,0.276,0.257,,57,1.2,-7.3,2,0,1386
2006,Shawn Hill,6,8,0,1,0,0,0.00%,50.00%,0,0.5,0.167,0.167,0.167,0.148,,-20,0,-1.3,1,0,1882
1984,Mike Ramsey,37,70,0,2,3,0,0.00%,18.60%,0.014,0.263,0.214,0.214,0.229,0.2,,21,0,-6.2,4.1,0,1010686
1993,Archi Cianfrocco,12,17,1,3,1,0,0.00%,29.40%,0.235,0.273,0.235,0.235,0.471,0.303,,82,0,-0.4,-0.3,0,1002231
1983,Greg Bargar,8,6,0,0,1,0,0.00%,66.70%,0,0.5,0.167,0.167,0.167,0.151,,-13,0,-0.8,0.5,0,1000540
1984,Tony Scott,45,79,0,8,5,1,8.90%,26.60%,0.056,0.353,0.254,0.316,0.31,0.284,,78,-0.2,-2.1,-0.5,0,1011695
1988,Floyd Youmans,14,27,0,2,3,0,0.00%,44.40%,0.038,0.267,0.154,0.148,0.192,0.149,,-14,0,-3.4,2.5,0,1014361
2002,Javier Vazquez,34,86,0,7,4,0,3.50%,10.50%,0,0.203,0.178,0.211,0.178,0.18,,-3,-0.4,-11.5,8.6,0,801
1993,Dennis Martinez,36,82,0,1,4,0,2.40%,20.70%,0.029,0.204,0.159,0.178,0.188,0.166,,-7,0,-10.8,7.9,0,1008161
1989,Mark Gardner,7,7,0,0,0,0,0.00%,57.10%,0,0.5,0.167,0.167,0.167,0.152,,-11,0,-0.9,0.6,0,1004529
1993,Brian Barnes,52,23,0,1,2,0,4.30%,43.50%,0,0.3,0.15,0.19,0.15,0.163,,-9,0,-3.1,2.2,0,1000560
1981,Wallace Johnson,11,10,0,1,3,1,10.00%,10.00%,0.222,0.25,0.222,0.3,0.444,0.29,,79,-0.2,-0.4,0,0,1006513
2016,Yusmeiro Petit,36,7,0,0,0,0,0.00%,28.60%,0,0.25,0.167,0.167,0.167,0.146,,-21,0,-1,0.8,0,4020
2005,Brendan Harris,4,10,1,1,3,0,0.00%,0.00%,0.444,0.25,0.333,0.4,0.778,0.489,,207,-0.6,0.7,-1.1,0,2178
1974,John Montague,46,12,0,0,0,0,16.70%,33.30%,0,0.167,0.1,0.25,0.1,0.196,,11,0,-1.2,0.8,0,1009060
2018,Brian Goodwin,48,79,3,9,12,3,12.70%,32.90%,0.154,0.27,0.2,0.321,0.354,0.302,,86,-0.5,-1.8,-0.8,0,12858
1993,Mike Gardiner,24,5,0,0,0,0,20.00%,60.00%,0,0,0,0.2,0,0.143,,-23,0,-0.8,0.5,0,1004516
2008,Garrett Mock,26,6,0,0,0,0,0.00%,50.00%,0,0,0,0.2,0,0.148,,-23,0,-0.9,0.6,0,7335
